<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.24	01:00:00	1340.92	1341.04	1340.25	1340.91	1018	243180	36
2018.01.24	01:30:00	1340.87	1342.16	1340.85	1341.73	2437	561060	37
2018.01.24	02:00:00	1341.69	1341.90	1341.25	1341.55	2116	653835	22
2018.01.24	02:30:00	1341.55	1341.77	1340.64	1340.69	2710	913209	36
2018.01.24	03:00:00	1340.67	1340.88	1339.42	1340.41	3584	1225365	36
2018.01.24	03:30:00	1340.39	1341.13	1339.83	1340.80	3425	1323238	36
2018.01.24	04:00:00	1340.80	1340.96	1340.27	1340.73	3588	1334370	36
2018.01.24	04:30:00	1340.70	1341.79	1340.62	1341.39	4009	1561248	36
2018.01.24	05:00:00	1341.39	1341.51	1340.59	1340.99	2339	848598	36
2018.01.24	05:30:00	1340.99	1341.41	1340.70	1340.88	1924	653652	36
2018.01.24	06:00:00	1340.88	1341.86	1340.88	1341.04	2951	952014	36
2018.01.24	06:30:00	1341.04	1341.05	1340.61	1340.92	1778	610268	36
2018.01.24	07:00:00	1340.89	1340.93	1339.91	1340.40	1905	457799	36
2018.01.24	07:30:00	1340.41	1342.01	1340.39	1341.91	2046	479092	36
2018.01.24	08:00:00	1341.92	1342.42	1341.13	1341.91	4014	1430458	36
2018.01.24	08:30:00	1341.91	1343.47	1341.30	1343.28	3829	1669949	36
2018.01.24	09:00:00	1343.28	1343.42	1342.39	1343.38	3623	1563162	36
2018.01.24	09:30:00	1343.39	1343.76	1342.75	1343.10	3408	1231044	36
2018.01.24	10:00:00	1343.10	1347.06	1343.05	1345.90	6167	2461346	36
2018.01.24	10:30:00	1345.90	1348.12	1345.63	1346.87	6124	2463010	36
2018.01.24	11:00:00	1346.86	1348.53	1346.60	1348.23	4758	1927401	36
2018.01.24	11:30:00	1348.23	1349.42	1347.22	1348.51	5388	2191831	36
2018.01.24	12:00:00	1348.51	1349.81	1348.47	1349.75	3597	1105017	36
2018.01.24	12:30:00	1349.74	1350.47	1349.03	1349.57	4478	1590921	36
2018.01.24	13:00:00	1349.56	1350.82	1349.19	1350.12	4061	1498031	36
2018.01.24	13:30:00	1350.12	1350.56	1349.23	1349.33	3572	1631813	36
2018.01.24	14:00:00	1349.33	1350.95	1348.65	1350.57	4987	2082887	36
2018.01.24	14:30:00	1350.55	1352.24	1350.34	1352.22	5012	2149482	36
2018.01.24	15:00:00	1352.22	1353.73	1351.39	1352.62	7152	2756333	36
2018.01.24	15:30:00	1352.63	1353.14	1351.25	1352.13	6554	3004356	36
2018.01.24	16:00:00	1352.13	1353.67	1352.04	1352.92	5348	2537975	36
2018.01.24	16:30:00	1352.92	1355.26	1352.92	1354.88	8511	3726184	36
